Feature ,SelectionMethod,ForecastHorizon,Region,NumberSelections
tempmax,PC,10,Nordeste,0
tempmin,PC,10,Nordeste,0
tempavg,PC,10,Nordeste,0
J,PC,10,Nordeste,0
I/Rad,PC,10,Nordeste,0
pressatm,PC,10,Nordeste,0
humimax ,PC,10,Nordeste,0
humimin,PC,10,Nordeste,0
humirel,PC,10,Nordeste,0
wind,PC,10,Nordeste,0
Eto,PC,10,Nordeste,10
tempmax,FI,10,Nordeste,0
tempmin,FI,10,Nordeste,0
tempavg,FI,10,Nordeste,0
J,FI,10,Nordeste,7
I/Rad,FI,10,Nordeste,0
pressatm,FI,10,Nordeste,0
humimax ,FI,10,Nordeste,0
humimin,FI,10,Nordeste,0
humirel,FI,10,Nordeste,0
wind,FI,10,Nordeste,0
Eto,FI,10,Nordeste,3
tempmax,PC,10,Centroeste,0
tempmin,PC,10,Centroeste,0
tempavg,PC,10,Centroeste,10
J,PC,10,Centroeste,0
I/Rad,PC,10,Centroeste,0
pressatm,PC,10,Centroeste,0
humimax ,PC,10,Centroeste,0
humimin,PC,10,Centroeste,0
humirel,PC,10,Centroeste,0
wind,PC,10,Centroeste,0
Eto,PC,10,Centroeste,0
tempmax,FI,10,Centroeste,0
tempmin,FI,10,Centroeste,1
tempavg,FI,10,Centroeste,4
J,FI,10,Centroeste,3
I/Rad,FI,10,Centroeste,0
pressatm,FI,10,Centroeste,2
humimax ,FI,10,Centroeste,0
humimin,FI,10,Centroeste,0
humirel,FI,10,Centroeste,0
wind,FI,10,Centroeste,0
Eto,FI,10,Centroeste,0
tempmax,PC,10,Sul,0
tempmin,PC,10,Sul,2
tempavg,PC,10,Sul,5
J,PC,10,Sul,0
I/Rad,PC,10,Sul,0
pressatm,PC,10,Sul,0
humimax ,PC,10,Sul,0
humimin,PC,10,Sul,0
humirel,PC,10,Sul,0
wind,PC,10,Sul,0
Eto,PC,10,Sul,3
tempmax,FI,10,Sul,0
tempmin,FI,10,Sul,0
tempavg,FI,10,Sul,4
J,FI,10,Sul,6
I/Rad,FI,10,Sul,0
pressatm,FI,10,Sul,0
humimax ,FI,10,Sul,0
humimin,FI,10,Sul,0
humirel,FI,10,Sul,0
wind,FI,10,Sul,0
Eto,FI,10,Sul,0
tempmax,PC,10,Sudeste,0
tempmin,PC,10,Sudeste,0
tempavg,PC,10,Sudeste,0
J,PC,10,Sudeste,0
I/Rad,PC,10,Sudeste,0
pressatm,PC,10,Sudeste,0
humimax ,PC,10,Sudeste,0
humimin,PC,10,Sudeste,0
humirel,PC,10,Sudeste,0
wind,PC,10,Sudeste,0
Eto,PC,10,Sudeste,10
tempmax,FI,10,Sudeste,0
tempmin,FI,10,Sudeste,0
tempavg,FI,10,Sudeste,0
J,FI,10,Sudeste,10
I/Rad,FI,10,Sudeste,0
pressatm,FI,10,Sudeste,0
humimax ,FI,10,Sudeste,0
humimin,FI,10,Sudeste,0
humirel,FI,10,Sudeste,0
wind,FI,10,Sudeste,0
Eto,FI,10,Sudeste,0
